Moisture Sensor,Light Dependent Resistor
210,792
211,800
211,801
211,801
212,807
212,809
211,798
211,797
211,802
229,905
225,882
225,882
225,881
227,893
228,896
228,897
228,900
226,889
227,893
226,887
227,893
227,897
227,894
227,891
227,896
228,901
227,882
228,897
225,882
227,888
225,884
227,892
228,898
225,882
227,895
227,896
227,897
227,897
227,897
227,897
228,897
227,897
227,897
227,893
227,893
232,925
226,889
226,888
228,898
225,878
225,882
225,884
226,886
226,890
226,886
226,887
224,876
226,885
226,885
227,894
227,892
228,903
230,911
228,903
228,902
228,903
228,899
228,903
228,905
227,894
228,902
228,902
228,902
228,902
228,902
228,902
228,902
228,902
228,903
227,899
227,894
227,896
227,898
230,909
228,902
228,902
231,915
228,905
228,903
228,903
228,903
228,903
228,903
228,904
228,904
231,917
230,915
232,925
230,915
232,928
231,916
231,916
230,914
234,934
232,926
230,915
230,912
231,915
230,911
232,927
230,911
232,927
231,923
231,921
232,924
231,922
231,923
232,925
232,931
230,912
230,911
232,925
231,924
231,917
232,926
232,923
230,915
232,925
232,925
232,926
232,927
232,927
230,915
230,914
230,914
230,914
230,914
230,914
230,914
231,925
231,917
227,898
230,909
230,914
229,906
230,914
230,916
230,914
230,916
230,915
230,912
230,915
230,915
230,911
232,926
232,926
235,939
235,939
235,940
235,940
235,940
235,940
235,940
235,940
235,940
235,940
235,940
235,941
235,940
235,940
235,940
235,939
235,940
235,940
235,940
235,940
235,938
235,937
235,938
235,936
235,937
235,936
235,937
235,940
235,940
235,940
235,940
235,940
232,927
